LP;Zawodnik;AVG - zawodnik;Przeciwnik;AVG - przeciwnik;Wynik;Faza;Turniej;Data
3752;Joe Cullen;99.2920353982301;Glen Durrant;98.72477064220183;"6;2";QF;European Darts Matchplay;08.09.2019
3753;Michael van Gerwen;100.24576271186442;Dave Chisnall;84.0;"7;1";SF;European Darts Matchplay;08.09.2019
3754;Joe Cullen;103.68518518518519;James Wade;98.43037974683543;"7;5";SF;European Darts Matchplay;08.09.2019
3755;Joe Cullen;101.3;Michael van Gerwen;100.17977528089887;"8;5";Final;European Darts Matchplay;08.09.2019
3756;Harry Ward;81.48502994011976;Reece Robinson;81.0;"6;4";L48;International Darts Open;13.09.2019
3757;William O'Connor;92.90445859872612;Benito van de Pas;86.90196078431373;"6;4";L48;International Darts Open;13.09.2019
3758;Justin Pipe;80.96319018404908;Christian Jentschke;75.16564417177914;"6;3";L48;International Darts Open;13.09.2019
3759;Kyle Anderson;99.62658227848101;Arron Monk;97.33548387096775;"6;5";L48;International Darts Open;13.09.2019
3760;John Henderson;79.78947368421052;Brett Claydon;82.94117647058823;"6;4";L48;International Darts Open;13.09.2019
3761;James Richardson;82.9746835443038;Mike Poge;70.32692307692308;"6;3";L48;International Darts Open;13.09.2019
3762;Danny Noppert;94.3157894736842;Mickey Mansell;88.6046511627907;"6;5";L48;International Darts Open;13.09.2019
3763;Michael Rosenauer;81.66071428571428;Mike de Decker;81.80357142857143;"6;4";L48;International Darts Open;13.09.2019
3764;Richard North;88.69060773480663;Boris Koltsov;86.16666666666666;"6;5";L48;International Darts Open;13.09.2019
3765;Steve West;94.34042553191489;Daniel Larsson;81.08695652173913;"6;3";L48;International Darts Open;13.09.2019
3766;Ritchie Edhouse;88.04545454545455;Davyd Venken;80.35384615384615;"6;2";L48;International Darts Open;13.09.2019
3767;Luke Woodhouse;94.8440366972477;Manfred Bilderl;82.64423076923077;"6;1";L48;International Darts Open;13.09.2019
3768;Dimitri van den Bergh;98.66666666666666;Adam Hunt;93.57692307692308;"6;3";L48;International Darts Open;13.09.2019
3769;Steffen Siepmann;85.33898305084746;Andy Boulton;88.20994475138122;"6;5";L48;International Darts Open;13.09.2019
3770;Joe Murnan;85.75568181818181;Jelle Klaasen;89.1896551724138;"6;5";L48;International Darts Open;13.09.2019
3771;Davy van Baelen;103.6551724137931;Ole Luckow;89.44827586206895;"6;0";L48;International Darts Open;13.09.2019
3772;Nathan Aspinall;99.2578125;Justin Pipe;96.7906976744186;"6;3";L32;International Darts Open;14.09.2019
3773;Michael Rosenauer;83.50980392156863;Krzysztof Ratajski;85.125;"6;3";L32;International Darts Open;14.09.2019
3774;Glen Durrant;97.96799999999999;James Richardson;100.38842975206612;"6;3";L32;International Darts Open;14.09.2019
3775;Rob Cross;101.56310679611651;John Henderson;93.27272727272727;"6;1";L32;International Darts Open;14.09.2019
3776;Adrian Lewis;81.01754385964912;William O'Connor;84.98823529411764;"6;4";L32;International Darts Open;14.09.2019
3777;Daryl Gurney;99.59602649006624;Danny Noppert;98.56;"6;5";L32;International Darts Open;14.09.2019
3778;Steve Beaton;89.76623376623377;Luke Woodhouse;87.83443708609272;"6;4";L32;International Darts Open;14.09.2019
3779;Gerwyn Price;106.19999999999999;Kyle Anderson;100.41176470588235;"6;4";L32;International Darts Open;14.09.2019
3780;Ricky Evans;93.22602739726028;Dimitri van den Bergh;98.46206896551725;"6;4";L32;International Darts Open;14.09.2019
3781;Steve West;98.00769230769231;Jamie Hughes;93.16030534351145;"6;3";L32;International Darts Open;14.09.2019
3782;Jonny Clayton;95.18367346938776;Steffen Siepmann;89.36734693877551;"6;4";L32;International Darts Open;14.09.2019
3783;Joe Murnan;88.17567567567568;Jeffrey de Zwaan;85.72602739726028;"6;3";L32;International Darts Open;14.09.2019
3784;Joe Cullen;95.03636363636363;Davy van Baelen;85.50931677018633;"6;5";L32;International Darts Open;14.09.2019
3785;Richard North;92.1219512195122;Ian White;96.12883435582822;"6;5";L32;International Darts Open;14.09.2019
3786;Mensur Suljovic;101.32584269662921;Harry Ward;83.07142857142857;"6;0";L32;International Darts Open;14.09.2019
3787;Peter Wright;96.46808510638297;Ritchie Edhouse;96.58695652173914;"6;4";L32;International Darts Open;14.09.2019
3788;Daryl Gurney;102.14;Steve Beaton;95.02702702702703;"6;5";L16;International Darts Open;15.09.2019
3789;Glen Durrant;92.2394366197183;Michael Rosenauer;79.23529411764706;"6;3";L16;International Darts Open;15.09.2019
3790;Nathan Aspinall;96.9375;Ricky Evans;93.5886075949367;"6;5";L16;International Darts Open;15.09.2019
3791;Gerwyn Price;96.08275862068965;Joe Murnan;89.79020979020979;"6;4";L16;International Darts Open;15.09.2019
3792;Peter Wright;94.94117647058823;Mensur Suljovic;88.05882352941177;"6;3";L16;International Darts Open;15.09.2019
3793;Adrian Lewis;91.0;Jonny Clayton;86.47619047619048;"6;2";L16;International Darts Open;15.09.2019
3794;Rob Cross;101.32584269662921;Joe Cullen;91.17857142857143;"6;0";L16;International Darts Open;15.09.2019
3795;Richard North;88.13414634146342;Steve West;89.30909090909091;"6;5";L16;International Darts Open;15.09.2019
3796;Glen Durrant;100.22535211267606;Daryl Gurney;91.3125;"6;4";QF;International Darts Open;15.09.2019
3797;Gerwyn Price;94.27450980392156;Nathan Aspinall;91.89473684210526;"6;4";QF;International Darts Open;15.09.2019
3798;Peter Wright;100.19999999999999;Adrian Lewis;83.03571428571428;"6;0";QF;International Darts Open;15.09.2019
3799;Rob Cross;102.36363636363637;Richard North;93.15151515151516;"6;1";QF;International Darts Open;15.09.2019
3800;Gerwyn Price;101.88970588235293;Glen Durrant;98.02222222222224;"7;3";SF;International Darts Open;15.09.2019
3801;Rob Cross;91.53846153846155;Peter Wright;92.72164948453609;"7;6";SF;International Darts Open;15.09.2019
3802;Gerwyn Price;93.04326923076923;Rob Cross;90.92079207920793;"8;6";Final;International Darts Open;15.09.2019
3803;Wessel Nijman;88.89204545454545;Darren Webster;87.60693641618496;"6;5";L48;Gibraltar Darts Trophy;27.09.2019
3804;Krzysztof Kciuk;84.2484076433121;Kirk Shepherd;75.68181818181819;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3805;Ryan Joyce;100.76744186046511;Matt Clark;95.51219512195121;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3806;Dyson Parody;88.66285714285715;Cor Dekker;91.28089887640449;"6;5";L48;Gibraltar Darts Trophy;27.09.2019
3807;Paul Rowley;92.16666666666666;Ryan Meikle;94.03846153846155;"6;5";L48;Gibraltar Darts Trophy;27.09.2019
3808;Kim Huybrechts;96.72262773722628;Justin Pipe;93.98540145985402;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3809;Carl Wilkinson;76.375;Justin Hewitt;76.01249999999999;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3810;Steve Beaton;89.69318181818181;Tony Newell;84.25862068965517;"6;5";L48;Gibraltar Darts Trophy;27.09.2019
3811;Jeffrey de Zwaan;96.35036496350364;Steve West;86.12408759124088;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3812;Chris Dobey;85.1890243902439;William O'Connor;85.79640718562874;"6;4";L48;Gibraltar Darts Trophy;27.09.2019
3813;Danny Noppert;93.19186046511628;Keegan Brown;93.45614035087719;"6;5";L48;Gibraltar Darts Trophy;27.09.2019
3814;Michael Rosenauer;76.83870967741936;Antony Lopez;71.82162162162162;"6;4";L48;Gibraltar Darts Trophy;27.09.2019
3815;Dimitri van den Bergh;93.0863309352518;Scott Taylor;93.26470588235294;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3816;Jose de Sousa;103.64601769911503;Darius Labanauskas;94.44545454545454;"6;2";L48;Gibraltar Darts Trophy;27.09.2019
3817;David Francis;72.64285714285714;Robert Thornton;72.315;"6;4";L48;Gibraltar Darts Trophy;27.09.2019
3818;Ritchie Edhouse;87.99337748344371;Jamie Hughes;84.30405405405405;"6;3";L48;Gibraltar Darts Trophy;27.09.2019
3819;Nathan Aspinall;108.144;Ryan Joyce;100.79032258064515;"6;4";L32;Gibraltar Darts Trophy;28.09.2019
3820;James Wade;95.69999999999999;Paul Rowley;93.27731092436974;"6;2";L32;Gibraltar Darts Trophy;28.09.2019
3821;Krzysztof Ratajski;90.53424657534246;Steve Beaton;88.05000000000001;"6;3";L32;Gibraltar Darts Trophy;28.09.2019
3822;Kim Huybrechts;93.06521739130434;Jonny Clayton;95.19847328244275;"6;3";L32;Gibraltar Darts Trophy;28.09.2019
3823;Rob Cross;87.13815789473685;Krzysztof Kciuk;78.14;"6;3";L32;Gibraltar Darts Trophy;28.09.2019
3824;Daryl Gurney;97.17931034482757;Carl Wilkinson;89.72916666666666;"6;4";L32;Gibraltar Darts Trophy;28.09.2019
3825;Dave Chisnall;103.41176470588235;Jeffrey de Zwaan;94.79605263157895;"6;5";L32;Gibraltar Darts Trophy;28.09.2019
3826;Michael Smith;85.80991735537191;Danny Noppert;83.0;"6;1";L32;Gibraltar Darts Trophy;28.09.2019
3827;Ian White;88.8974358974359;Michael Rosenauer;82.93805309734513;"6;1";L32;Gibraltar Darts Trophy;28.09.2019
3828;Jermaine Wattimena;94.72131147540983;Dimitri van den Bergh;90.48717948717949;"6;2";L32;Gibraltar Darts Trophy;28.09.2019
3829;Mensur Suljovic;96.51923076923076;Wessel Nijman;90.09278350515464;"6;1";L32;Gibraltar Darts Trophy;28.09.2019
3830;Michael van Gerwen;103.51219512195124;Jose de Sousa;94.392;"6;3";L32;Gibraltar Darts Trophy;28.09.2019
3831;Peter Wright;100.70192307692308;Dyson Parody;82.21782178217822;"6;1";L32;Gibraltar Darts Trophy;28.09.2019
3832;Joe Cullen;98.46268656716417;Ritchie Edhouse;88.51127819548871;"6;3";L32;Gibraltar Darts Trophy;28.09.2019
3833;Glen Durrant;104.08510638297872;Chris Dobey;94.17482517482517;"6;4";L32;Gibraltar Darts Trophy;28.09.2019
3834;Gerwyn Price;98.02173913043478;David Francis;76.63333333333333;"6;0";L32;Gibraltar Darts Trophy;28.09.2019
3835;Nathan Aspinall;95.390625;Michael van Gerwen;101.83464566929133;"6;3";L16;Gibraltar Darts Trophy;29.09.2019
3836;Peter Wright;97.69172932330827;Mensur Suljovic;96.02325581395348;"6;3";L16;Gibraltar Darts Trophy;29.09.2019
3837;James Wade;102.72321428571429;Kim Huybrechts;101.18691588785047;"6;2";L16;Gibraltar Darts Trophy;29.09.2019
3838;Dave Chisnall;101.44137931034483;Jermaine Wattimena;92.5448275862069;"6;4";L16;Gibraltar Darts Trophy;29.09.2019
3839;Ian White;101.34507042253522;Michael Smith;93.81818181818181;"6;4";L16;Gibraltar Darts Trophy;29.09.2019
3840;Krzysztof Ratajski;93.16783216783217;Joe Cullen;85.92086330935251;"6;3";L16;Gibraltar Darts Trophy;29.09.2019
3841;Daryl Gurney;100.78217821782178;Glen Durrant;99.64285714285714;"6;1";L16;Gibraltar Darts Trophy;29.09.2019
3842;Gerwyn Price;102.96710526315789;Rob Cross;97.61688311688312;"6;5";L16;Gibraltar Darts Trophy;29.09.2019
3843;Nathan Aspinall;96.20610687022901;Peter Wright;94.97619047619048;"6;3";QF;Gibraltar Darts Trophy;29.09.2019
3844;Dave Chisnall;106.10294117647058;James Wade;94.55725190839695;"6;4";QF;Gibraltar Darts Trophy;29.09.2019
3845;Krzysztof Ratajski;91.42553191489361;Ian White;92.51470588235294;"6;3";QF;Gibraltar Darts Trophy;29.09.2019
3846;Daryl Gurney;84.73426573426573;Gerwyn Price;92.46268656716418;"6;3";QF;Gibraltar Darts Trophy;29.09.2019
3847;Dave Chisnall;97.06914893617021;Nathan Aspinall;98.28191489361703;"7;6";SF;Gibraltar Darts Trophy;29.09.2019
3848;Krzysztof Ratajski;109.51111111111112;Daryl Gurney;99.29545454545456;"7;3";SF;Gibraltar Darts Trophy;29.09.2019
3849;Krzysztof Ratajski;102.85106382978725;Dave Chisnall;99.96268656716417;"8;2";Final;Gibraltar Darts Trophy;29.09.2019
3850;Ryan Searle;92.10416666666667;Darren Penhall;80.16083916083916;"6;3";L48;Belgian Darts Championship;28.02.2020
3851;Andy Hamilton;90.80701754385964;Andy Boulton;91.56140350877193;"6;5";L48;Belgian Darts Championship;28.02.2020
3852;Steve Beaton;92.98089171974522;Kai Fan Leung;86.76623376623377;"6;4";L48;Belgian Darts Championship;28.02.2020
3853;Ronny Huybrechts;89.31578947368422;Luke Humphries;82.90654205607476;"6;1";L48;Belgian Darts Championship;28.02.2020
3854;Damon Heta;102.47727272727272;Michael Barnard;81.71428571428571;"6;0";L48;Belgian Darts Championship;28.02.2020
3855;Wesley Plaisier;86.08556149732621;Benjamin Pratnemer;82.16129032258064;"6;5";L48;Belgian Darts Championship;28.02.2020
3856;Martijn Kleermaker;83.13749999999999;Stephen Bunting;87.74074074074075;"6;4";L48;Belgian Darts Championship;28.02.2020
3857;Mervyn King;93.05882352941177;Justin Pipe;94.48979591836735;"6;4";L48;Belgian Darts Championship;28.02.2020
3858;Dirk van Duijvenbode;101.58992805755396;Luke Woodhouse;93.32608695652175;"6;4";L48;Belgian Darts Championship;28.02.2020
3859;Mike de Decker;94.24844720496894;Ron Meulenkamp;91.34355828220859;"6;5";L48;Belgian Darts Championship;28.02.2020
3860;Gabriel Clemens;94.36567164179104;Callan Rydz;98.9291338582677;"6;3";L48;Belgian Darts Championship;28.02.2020
3861;Danny Noppert;88.78195488721805;Geert De Vos;86.61904761904762;"6;2";L48;Belgian Darts Championship;28.02.2020
3862;Kim Huybrechts;89.88188976377953;Ryan Harrington;86.17741935483872;"6;2";L48;Belgian Darts Championship;28.02.2020
3863;Steve Lennon;89.77397260273972;Rowby-John Rodriguez;87.16438356164383;"6;3";L48;Belgian Darts Championship;28.02.2020
3864;Steve West;78.41739130434783;Jeffrey van Egdom;67.02777777777777;"6;0";L48;Belgian Darts Championship;28.02.2020
3865;Dimitri van den Bergh;86.58;Derk Telnekes;83.77551020408163;"6;3";L48;Belgian Darts Championship;28.02.2020
3866;Michael Smith;103.27722772277228;Ronny Huybrechts;97.12121212121212;"6;1";L32;Belgian Darts Championship;29.02.2020
3867;Martijn Kleermaker;91.80000000000001;Joe Cullen;87.45985401459855;"6;3";L32;Belgian Darts Championship;29.02.2020
3868;Krzysztof Ratajski;98.28947368421052;Gabriel Clemens;94.55555555555556;"6;2";L32;Belgian Darts Championship;29.02.2020
3869;Mervyn King;105.9767441860465;Glen Durrant;99.9090909090909;"6;4";L32;Belgian Darts Championship;29.02.2020
3870;Rob Cross;91.17272727272727;Damon Heta;92.05714285714286;"6;1";L32;Belgian Darts Championship;29.02.2020
3871;Dirk van Duijvenbode;87.41958041958043;Ian White;88.19148936170214;"6;3";L32;Belgian Darts Championship;29.02.2020
3872;Danny Noppert;108.96330275229359;Jermaine Wattimena;100.40366972477064;"6;2";L32;Belgian Darts Championship;29.02.2020
3873;James Wade;97.79032258064515;Steve Lennon;96.07317073170731;"6;3";L32;Belgian Darts Championship;29.02.2020
3874;Nathan Aspinall;98.72727272727272;Steve Beaton;93.46511627906978;"6;3";L32;Belgian Darts Championship;29.02.2020
3875;Gerwyn Price;89.66379310344827;Wesley Plaisier;82.71794871794873;"6;1";L32;Belgian Darts Championship;29.02.2020
3876;Peter Wright;90.92125984251969;Andy Hamilton;85.1484375;"6;2";L32;Belgian Darts Championship;29.02.2020
3877;Michael van Gerwen;99.70992366412213;Mike de Decker;91.07633587786259;"6;3";L32;Belgian Darts Championship;29.02.2020
3878;Jeffrey de Zwaan;93.2384105960265;Kim Huybrechts;91.97368421052632;"6;4";L32;Belgian Darts Championship;29.02.2020
3879;Jamie Hughes;92.15060240963855;Dimitri van den Bergh;97.41818181818184;"6;5";L32;Belgian Darts Championship;29.02.2020
3880;Mensur Suljovic;93.18881118881119;Ryan Searle;98.27659574468086;"6;4";L32;Belgian Darts Championship;29.02.2020
3881;Steve West;100.64864864864865;Jonny Clayton;104.13888888888889;"6;2";L32;Belgian Darts Championship;29.02.2020
3882;Michael Smith;93.34545454545454;Michael van Gerwen;97.43478260869566;"6;5";L16;Belgian Darts Championship;01.03.2020
3883;Mervyn King;93.10869565217392;Martijn Kleermaker;94.18181818181819;"6;3";L16;Belgian Darts Championship;01.03.2020
3884;Peter Wright;99.18045112781954;Danny Noppert;92.76377952755905;"6;3";L16;Belgian Darts Championship;01.03.2020
3885;Krzysztof Ratajski;93.21897810218978;Rob Cross;90.80597014925374;"6;3";L16;Belgian Darts Championship;01.03.2020
3886;Dirk van Duijvenbode;94.76351351351352;Jeffrey de Zwaan;91.06122448979592;"6;4";L16;Belgian Darts Championship;01.03.2020
3887;Nathan Aspinall;103.28571428571429;James Wade;97.42222222222222;"6;4";L16;Belgian Darts Championship;01.03.2020
3888;Gerwyn Price;103.6551724137931;Jamie Hughes;101.81481481481481;"6;0";L16;Belgian Darts Championship;01.03.2020
3889;Mensur Suljovic;103.5845070422535;Steve West;96.02173913043478;"6;4";L16;Belgian Darts Championship;01.03.2020
3890;Michael Smith;107.84536082474226;Mervyn King;93.1875;"6;1";QF;Belgian Darts Championship;01.03.2020
3891;Peter Wright;102.08759124087592;Krzysztof Ratajski;97.51094890510949;"6;4";QF;Belgian Darts Championship;01.03.2020
3892;Dirk van Duijvenbode;102.9375;Nathan Aspinall;103.74657534246575;"6;5";QF;Belgian Darts Championship;01.03.2020
3893;Gerwyn Price;100.15966386554621;Mensur Suljovic;88.3109243697479;"6;2";QF;Belgian Darts Championship;01.03.2020
3894;Michael Smith;102.03529411764707;Peter Wright;100.09580838323353;"7;5";SF;Belgian Darts Championship;01.03.2020
3895;Gerwyn Price;92.57926829268293;Dirk van Duijvenbode;91.37735849056604;"7;4";SF;Belgian Darts Championship;01.03.2020
3896;Gerwyn Price;100.02580645161291;Michael Smith;96.25999999999999;"8;3";Final;Belgian Darts Championship;01.03.2020
3897;Scott Waites;93.65693430656934;Darren Penhall;90.3515625;"6;3";L48;German Darts Championship;25.09.2020
3898;William O'Connor;97.20560747663552;Daniel Larsson;82.89320388349515;"6;1";L48;German Darts Championship;25.09.2020
3899;Richard North;94.93373493975903;Ron Meulenkamp;89.23214285714286;"6;5";L48;German Darts Championship;25.09.2020
3900;Steve Lennon;90.13740458015268;Boris Koltsov;84.91603053435114;"6;2";L48;German Darts Championship;25.09.2020
3901;Jeff Smith;89.02941176470588;Franz Roetzsch;91.41818181818182;"6;5";L48;German Darts Championship;25.09.2020
3902;Lukas Wenig;84.58928571428572;Cody Harris;81.0529411764706;"6;4";L48;German Darts Championship;25.09.2020
3903;Dragutin Horvat;94.6734693877551;Ronny Huybrechts;91.0909090909091;"6;4";L48;German Darts Championship;25.09.2020
3904;Mervyn King;93.7027027027027;Steffen Siepmann;78.0;"6;1";L48;German Darts Championship;25.09.2020
3905;Danny Noppert;102.56896551724138;Josh Payne;92.89473684210526;"6;2";L48;German Darts Championship;25.09.2020
3906;Adam Hunt;91.04895104895105;Steve Brown;86.08333333333333;"6;3";L48;German Darts Championship;25.09.2020
3907;Gabriel Clemens;89.5603448275862;Steve West;86.01769911504425;"6;1";L48;German Darts Championship;25.09.2020
3908;Nico Kurz;97.57446808510639;Jason Lowe;100.15217391304347;"6;4";L48;German Darts Championship;25.09.2020
3909;Max Hopp;92.95161290322581;Reece Robinson;88.29661016949153;"6;2";L48;German Darts Championship;25.09.2020
3910;Devon Petersen;94.57446808510639;Jeffrey de Zwaan;83.74825174825175;"6;3";L48;German Darts Championship;26.09.2020
3911;Chris Dobey;93.97122302158273;Ryan Murray;92.26618705035972;"6;3";L48;German Darts Championship;26.09.2020
3912;Michael Smith;95.04098360655738;Alan Tabern;82.72881355932203;"6;2";L48;German Darts Championship;26.09.2020
3913;Dave Chisnall;108.65060240963855;Lukas Wenig;82.37037037037038;"6;0";L32;German Darts Championship;26.09.2020
3914;Mervyn King;103.82727272727273;Jermaine Wattimena;92.86111111111111;"6;2";L32;German Darts Championship;26.09.2020
3915;Danny Noppert;101.20353982300884;Adrian Lewis;96.48214285714286;"6;2";L32;German Darts Championship;26.09.2020
3916;Daryl Gurney;87.95575221238938;Gabriel Clemens;83.61818181818181;"6;1";L32;German Darts Championship;26.09.2020
3917;Nathan Aspinall;97.46218487394958;Dragutin Horvat;92.18421052631578;"6;2";L32;German Darts Championship;26.09.2020
3918;Glen Durrant;96.15671641791045;Scott Waites;92.63358778625954;"6;3";L32;German Darts Championship;26.09.2020
3919;Rob Cross;96.52554744525548;William O'Connor;90.35820895522387;"6;3";L32;German Darts Championship;26.09.2020
3920;Jonny Clayton;99.95172413793104;Chris Dobey;95.125;"6;4";L32;German Darts Championship;26.09.2020
3921;Max Hopp;90.99350649350649;Ian White;89.90445859872612;"6;4";L32;German Darts Championship;26.09.2020
3922;Mensur Suljovic;96.27083333333334;Jeff Smith;96.34285714285714;"6;4";L32;German Darts Championship;26.09.2020
3923;Michael van Gerwen;99.84615384615385;Steve Lennon;86.6896551724138;"6;2";L32;German Darts Championship;26.09.2020
3924;Peter Wright;106.76470588235293;Michael Smith;97.35000000000001;"6;3";L32;German Darts Championship;26.09.2020
3925;Krzysztof Ratajski;97.81512605042016;Richard North;87.4655172413793;"6;2";L32;German Darts Championship;26.09.2020
3926;Devon Petersen;102.60000000000001;Gerwyn Price;98.5741935483871;"6;5";L32;German Darts Championship;26.09.2020
3927;James Wade;94.59836065573771;Nico Kurz;93.65546218487395;"6;2";L32;German Darts Championship;26.09.2020
3928;Joe Cullen;94.77931034482759;Adam Hunt;91.76351351351352;"6;4";L32;German Darts Championship;26.09.2020
3929;Mervyn King;100.21153846153845;Michael van Gerwen;89.60606060606061;"6;1";L16;German Darts Championship;27.09.2020
3930;James Wade;103.2121212121212;Mensur Suljovic;96.0625;"6;1";L16;German Darts Championship;27.09.2020
3931;Jonny Clayton;95.95348837209302;Peter Wright;101.26829268292684;"6;3";L16;German Darts Championship;27.09.2020
3932;Dave Chisnall;102.30232558139534;Nathan Aspinall;98.04651162790698;"6;3";L16;German Darts Championship;27.09.2020
3933;Danny Noppert;96.91216216216216;Max Hopp;90.73972602739727;"6;4";L16;German Darts Championship;27.09.2020
3934;Daryl Gurney;98.71532846715328;Glen Durrant;97.14179104477611;"6;4";L16;German Darts Championship;27.09.2020
3935;Devon Petersen;100.46249999999999;Rob Cross;96.44805194805195;"6;5";L16;German Darts Championship;27.09.2020
3936;Krzysztof Ratajski;106.91666666666666;Joe Cullen;96.0;"6;2";L16;German Darts Championship;27.09.2020
3937;Mervyn King;99.78151260504202;James Wade;87.55263157894737;"6;2";QF;German Darts Championship;27.09.2020
3938;Jonny Clayton;103.85526315789474;Dave Chisnall;102.9261744966443;"6;5";QF;German Darts Championship;27.09.2020
3939;Danny Noppert;99.36206896551724;Daryl Gurney;93.55263157894737;"6;2";QF;German Darts Championship;27.09.2020
3940;Devon Petersen;99.7906976744186;Krzysztof Ratajski;91.18032786885246;"6;3";QF;German Darts Championship;27.09.2020
3941;Jonny Clayton;97.6938775510204;Mervyn King;90.12587412587413;"7;3";SF;German Darts Championship;27.09.2020
3942;Devon Petersen;100.74683544303798;Danny Noppert;94.56774193548387;"7;4";SF;German Darts Championship;27.09.2020
3943;Devon Petersen;102.75;Jonny Clayton;91.4313725490196;"8;3";Final;German Darts Championship;27.09.2020
3944;Maik Kuivenhoven;89.84905660377358;Jonathan Worsley;81.30000000000001;"6;4";L48;European Darts Grand Prix;16.10.2020
3945;Mervyn King;99.15094339622641;Mindaugas Barauskas;86.71153846153845;"6;5";L48;European Darts Grand Prix;16.10.2020
3946;Ricardo Pietreczko;89.65178571428572;Luke Woodhouse;86.67857142857143;"6;1";L48;European Darts Grand Prix;16.10.2020
3947;David Evans;100.2890625;Kai Gotthardt;94.09923664122137;"6;3";L48;European Darts Grand Prix;16.10.2020
3948;Scott Waites;92.51851851851852;Jason Lowe;96.2075471698113;"6;5";L48;European Darts Grand Prix;16.10.2020
3949;Nico Kurz;84.94148936170212;Stefan Bellmont;80.85164835164835;"6;5";L48;European Darts Grand Prix;16.10.2020
3950;Darius Labanauskas;87.52941176470588;Michael Unterbuchner;89.50980392156863;"6;4";L48;European Darts Grand Prix;16.10.2020
3951;Devon Petersen;92.67857142857143;Harry Ward;71.89189189189189;"6;1";L48;European Darts Grand Prix;16.10.2020
3952;Kim Huybrechts;91.078125;John Henderson;84.6829268292683;"6;2";L48;European Darts Grand Prix;16.10.2020
3953;Max Hopp;97.57046979865773;Pero Ljubic;86.4635761589404;"6;4";L48;European Darts Grand Prix;16.10.2020
3954;Derk Telnekes;83.18354430379748;Robert Marijanovic;81.09740259740259;"6;3";L48;European Darts Grand Prix;16.10.2020
3955;Steve Lennon;96.63636363636363;Madars Razma;94.74045801526718;"6;3";L48;European Darts Grand Prix;16.10.2020
3956;Martijn Kleermaker;79.59036144578313;Markus Buffler;73.50931677018633;"6;3";L48;European Darts Grand Prix;16.10.2020
3957;Adam Hunt;100.89320388349515;Damon Heta;88.17647058823529;"6;1";L48;European Darts Grand Prix;16.10.2020
3958;Gabriel Clemens;103.92857142857144;Steffen Siepmann;88.61904761904762;"6;3";L48;European Darts Grand Prix;16.10.2020
3959;William O'Connor;86.23972602739727;Chris Dobey;84.20979020979021;"6;3";L48;European Darts Grand Prix;16.10.2020
3960;Maik Kuivenhoven;96.15189873417722;Daryl Gurney;91.94339622641509;"6;5";L32;European Darts Grand Prix;17.10.2020
3961;Ian White;91.88976377952756;Scott Waites;89.85365853658537;"6;2";L32;European Darts Grand Prix;17.10.2020
3962;Michael Smith;103.6551724137931;Derk Telnekes;80.14285714285714;"6;0";L32;European Darts Grand Prix;17.10.2020
3963;Glen Durrant;90.49285714285715;Nico Kurz;86.93430656934306;"6;3";L32;European Darts Grand Prix;17.10.2020
3964;Jose de Sousa;82.73394495412843;Ricardo Pietreczko;73.52777777777777;"6;0";L32;European Darts Grand Prix;17.10.2020
3965;Darius Labanauskas;91.16058394160584;Dave Chisnall;93.9496402877698;"6;3";L32;European Darts Grand Prix;17.10.2020
3966;Joe Cullen;94.88571428571429;Kim Huybrechts;88.00729927007299;"6;3";L32;European Darts Grand Prix;17.10.2020
3967;Jamie Hughes;87.92571428571429;Steve Lennon;94.08771929824562;"6;5";L32;European Darts Grand Prix;17.10.2020
3968;Martijn Kleermaker;98.73214285714286;Krzysztof Ratajski;97.4018691588785;"6;2";L32;European Darts Grand Prix;17.10.2020
3969;Rob Cross;95.73214285714286;Adam Hunt;91.73214285714286;"6;5";L32;European Darts Grand Prix;17.10.2020
3970;James Wade;100.98561151079136;Gabriel Clemens;100.57553956834533;"6;4";L32;European Darts Grand Prix;17.10.2020
3971;Gerwyn Price;95.46774193548387;Devon Petersen;87.73770491803279;"6;2";L32;European Darts Grand Prix;17.10.2020
3972;Mensur Suljovic;105.42519685039372;David Evans;94.02499999999999;"6;3";L32;European Darts Grand Prix;17.10.2020
3973;Michael van Gerwen;94.77777777777777;Mervyn King;88.00934579439252;"6;1";L32;European Darts Grand Prix;17.10.2020
3974;Nathan Aspinall;96.89423076923076;William O'Connor;90.53465346534654;"6;1";L32;European Darts Grand Prix;17.10.2020
3975;Vincent van der Voort;88.2037037037037;Max Hopp;87.03797468354429;"6;4";L32;European Darts Grand Prix;17.10.2020
3976;Maik Kuivenhoven;90.62589928057554;Glen Durrant;90.28888888888889;"6;3";L16;European Darts Grand Prix;18.10.2020
3977;Ian White;91.59375;Michael Smith;90.5625;"6;2";L16;European Darts Grand Prix;18.10.2020
3978;Darius Labanauskas;84.73913043478261;Joe Cullen;79.60000000000001;"6;2";L16;European Darts Grand Prix;18.10.2020
3979;Jose de Sousa;88.93617021276596;Gerwyn Price;92.86861313868613;"6;3";L16;European Darts Grand Prix;18.10.2020
